index,Date,Open,High,Low,Close,volume,oi
352,2017-07-25,24622.9,24624.65,24450.2,24520.7,0,0
353,2017-07-26,24578.15,24720.9,24484.9,24670.7,0,0
354,2017-07-27,24857.5,25032.25,24799.4,24922.4,0,0
355,2017-07-28,24744.55,24859.75,24651.05,24811.3,0,0
356,2017-07-31,24880.6,25168.1,24828.5,25103.65,0,0
357,2017-08-01,25152.85,25179.5,25000.9,25122.8,0,0
358,2017-08-02,25190.4,25198.8,24926.25,25055.2,0,0
359,2017-08-03,25002.85,25005.15,24619.6,24675.05,0,0
360,2017-08-04,24629.5,24879.7,24591.8,24827.45,0,0
361,2017-08-07,24854.15,24979.35,24844.45,24906.35,0,0
362,2017-08-08,24942.2,24966.05,24534.35,24599.5,0,0
363,2017-08-09,24519.25,24532.4,24328.1,24374.6,0,0
364,2017-08-10,24300.45,24326.9,23822.2,24217.35,0,0
365,2017-08-11,23958.25,24191.2,23868.3,23985.75,0,0
366,2017-08-14,24051.05,24212.15,24038.15,24115.75,0,0
367,2017-08-16,24188.75,24461.2,23947.45,24437.7,0,0
368,2017-08-17,24495.2,24496.2,24121.55,24237.25,0,0
369,2017-08-18,24125.3,24130.15,23925.95,24074.45,0,0
370,2017-08-21,24140.55,24258.95,23882.25,23936.5,0,0
371,2017-08-22,24080.6,24127.45,23852.65,23974.45,0,0
372,2017-08-23,24084.95,24350.0,24074.15,24316.8,0,0
373,2017-08-24,24374.75,24411.05,24224.85,24274.2,0,0
374,2017-08-28,24351.25,24422.45,24301.35,24377.1,0,0
375,2017-08-29,24302.0,24320.95,24103.3,24128.95,0,0
376,2017-08-30,24253.05,24384.1,24241.3,24308.7,0,0
377,2017-08-31,24354.35,24354.35,24207.7,24318.4,0,0
378,2017-09-01,24389.2,24494.35,24319.2,24434.0,0,0
379,2017-09-04,24456.3,24459.35,24156.4,24236.85,0,0
380,2017-09-05,24272.6,24388.05,24256.3,24328.3,0,0
381,2017-09-06,24192.4,24331.3,24151.1,24279.15,0,0
382,2017-09-07,24324.85,24413.1,24246.9,24304.9,0,0
383,2017-09-08,24409.5,24419.25,24273.0,24370.8,0,0
384,2017-09-11,24468.5,24735.35,24458.25,24672.25,0,0
385,2017-09-12,24779.15,24821.35,24653.6,24784.7,0,0
386,2017-09-13,24818.35,24948.8,24737.8,24831.8,0,0
387,2017-09-14,24857.25,24994.3,24815.5,24912.25,0,0
