Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
AADHARHFC,-6.43397760624469,256.0,52,49,4.838709677419345,458.95,47.58064516129033,52.41935483870967
MAXHEALTH,-6.532958148145262,257.0,52,49,1.6129032258064484,1091.95,49.193548387096776,50.806451612903224
OBEROIRLTY,-6.643922906148491,258.0,52,49,3.225806451612897,1522.8,48.38709677419355,51.61290322580645
DELHIVERY,-6.847075231684274,259.0,52,49,-6.451612903225801,433.4,53.2258064516129,46.774193548387096
DEEPAKNTR,-7.081980114970654,260.0,52,49,17.741935483870968,1580.7,41.12903225806452,58.87096774193549
BAJAJHLDNG,-7.192456460651753,261.0,53,48,9.677419354838712,10804.0,44.354838709677416,54.03225806451613
ZYDUSLIFE,-7.2099924611581105,262.0,53,48,1.6129032258064484,921.7,49.193548387096776,50.806451612903224
HDFCBANK,-7.2657593212127285,263.0,53,48,12.903225806451623,887.75,43.54838709677419,56.451612903225815
GODREJCP,-7.430811217305,264.0,53,48,-4.838709677419345,1217.5,52.41935483870967,47.58064516129033
SHYAMMETL,-7.4521397132625955,265.0,53,48,1.6129032258064484,860.3,49.193548387096776,50.806451612903224
RHIM,-7.5665601640249935,266.0,54,47,20.161290322580648,434.65,39.516129032258064,59.67741935483871
JINDALSAW,-7.646625586534572,267.0,54,47,16.12903225806452,185.37,41.935483870967744,58.06451612903226
CREDITACC,-7.752465015912069,268.0,54,47,4.838709677419345,1265.2,47.58064516129033,52.41935483870967
NBCC,-7.759360006273641,269.0,54,47,11.29032258064516,92.67,44.354838709677416,55.64516129032258
VIJAYA,-7.882918112795934,270.0,54,47,9.677419354838712,1004.5,45.16129032258064,54.83870967741935
TRIDENT,-7.963759110005886,271.0,55,46,25.80645161290323,25.58,37.096774193548384,62.903225806451616
