symbol,company,industry,score,momentum,positive,negative,band,rank,price
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,48.95,11.95,53.0,47.0,Average (40-60),89,1208.1
AMBER,Amber Enterprises India Ltd.,Consumer Durables,67.36,21.58,50.4,47.9,Good (60-80),90,8842.5
LINDEINDIA,Linde India Ltd.,Chemicals,87.87,37.32,48.7,50.4,Strong (80-100),91,7847.5
JINDALSAW,Jindal Saw Ltd.,Capital Goods,88.28,37.42,47.9,50.4,Strong (80-100),92,242.46
SOLARINDS,Solar Industries India Ltd.,Chemicals,46.44,11.14,52.9,46.2,Average (40-60),93,15887.0
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,35.15,7.6,53.7,44.6,Weak (0-40),94,738.55
INDIACEM,India Cements Ltd.,Construction Materials,36.4,8.02,53.7,44.6,Weak (0-40),95,411.3
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,38.49,8.73,53.7,44.6,Weak (0-40),96,1834.4
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,71.13,23.44,50.4,49.6,Good (60-80),97,504.2
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,66.11,21.46,50.4,47.9,Good (60-80),98,2143.2
AXISBANK,Axis Bank Ltd.,Financial Services,39.33,8.86,52.9,45.5,Weak (0-40),99,1292.7
WELCORP,Welspun Corp Ltd.,Capital Goods,88.7,37.92,47.9,50.4,Strong (80-100),100,1299.2
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,95.82,53.78,46.3,52.1,Strong (80-100),101,227.94
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,31.38,6.89,53.7,44.6,Weak (0-40),102,1283.4
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,60.67,17.39,50.4,47.9,Good (60-80),103,1307.6
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,51.05,13.27,51.2,47.1,Average (40-60),104,328.45
URBANCO,Urban Company Ltd.,Consumer Services,53.14,14.03,51.2,47.1,Average (40-60),105,146.62
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,50.63,12.78,51.2,47.1,Average (40-60),106,1051.6
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,84.52,32.9,47.1,50.4,Strong (80-100),107,354.6
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,47.7,11.55,51.2,47.1,Average (40-60),108,946.95
SBIN,State Bank of India,Financial Services,59.83,17.23,50.4,47.9,Average (40-60),109,1092.0
ANGELONE,Angel One Ltd.,Financial Services,74.9,25.87,47.9,50.4,Good (60-80),110,322.6
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,51.88,13.67,50.4,47.1,Average (40-60),111,316.3
TIMKEN,Timken India Ltd.,Capital Goods,41.42,9.22,52.1,47.1,Average (40-60),112,3460.1
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,72.38,24.02,47.9,50.4,Good (60-80),113,1107.4
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,34.73,7.59,52.1,46.3,Weak (0-40),114,3584.3
TECHM,Tech Mahindra Ltd.,Information Technology,13.39,2.27,53.7,43.0,Weak (0-40),115,1448.2
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,30.96,6.87,52.1,46.3,Weak (0-40),116,20702.0
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,55.65,15.22,49.6,48.8,Average (40-60),117,1490.4
CESC,CESC Ltd.,Power,52.3,13.68,49.6,47.9,Average (40-60),118,186.61
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,52.72,13.75,50.4,49.6,Average (40-60),119,1664.8
AARTIIND,Aarti Industries Ltd.,Chemicals,73.22,24.2,47.1,51.2,Good (60-80),120,488.15
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,23.01,4.47,52.9,45.5,Weak (0-40),121,269.85
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,27.62,5.86,52.1,46.3,Weak (0-40),122,7327.5
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,16.74,3.57,53.7,44.6,Weak (0-40),123,282.1
NLCINDIA,NLC India Ltd.,Power,78.66,28.3,46.3,52.1,Good (60-80),124,328.7
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,53.97,14.42,49.6,49.6,Average (40-60),125,142.63
SAILIFE,Sai Life Sciences Ltd.,Healthcare,66.53,21.49,47.9,50.4,Good (60-80),126,1089.7
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,23.43,4.63,52.1,46.3,Weak (0-40),127,1973.7
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,56.9,15.6,48.8,49.6,Average (40-60),128,756.85
HAL,Hindustan Aeronautics Ltd.,Capital Goods,5.02,0.88,54.5,43.8,Weak (0-40),129,4782.1
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,18.41,3.74,52.9,45.5,Weak (0-40),130,4247.3
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,43.93,9.98,50.4,48.7,Average (40-60),131,8637.0
OFSS,Oracle Financial Services Software Ltd.,Information Technology,62.34,18.05,47.9,50.4,Good (60-80),132,9498.5
ACMESOLAR,ACME Solar Holdings Ltd.,Power,66.95,21.53,47.1,51.2,Good (60-80),133,298.55
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,57.32,15.65,47.9,49.6,Average (40-60),134,703.7
CANFINHOME,Can Fin Homes Ltd.,Financial Services,4.18,0.69,53.7,43.8,Weak (0-40),135,886.3
VOLTAS,Voltas Ltd.,Consumer Durables,33.47,7.44,51.2,47.1,Weak (0-40),136,1363.9
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,25.1,4.88,52.1,46.3,Weak (0-40),137,12146.0
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,44.35,10.24,49.6,48.8,Average (40-60),138,369.0
IDEA,Vodafone Idea Ltd.,Telecommunication,56.49,15.47,47.9,49.6,Average (40-60),139,11.23
AUBANK,AU Small Finance Bank Ltd.,Financial Services,47.28,11.49,48.8,49.6,Average (40-60),140,1032.4
TATAPOWER,Tata Power Co. Ltd.,Power,54.81,15.09,47.9,49.6,Average (40-60),141,439.25
GRASIM,Grasim Industries Ltd.,Construction Materials,35.56,7.72,50.4,47.9,Weak (0-40),142,2960.6
BANKINDIA,Bank of India,Financial Services,2.93,0.53,53.7,44.6,Weak (0-40),143,140.37
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,37.24,8.16,50.4,47.9,Weak (0-40),144,593.95
TITAN,Titan Company Ltd.,Consumer Durables,50.21,12.67,48.8,49.6,Average (40-60),145,4307.5
LENSKART,Lenskart Solutions Ltd.,Consumer Services,72.8,24.15,45.5,52.1,Good (60-80),146,487.75
CUB,City Union Bank Ltd.,Financial Services,45.61,11.03,48.8,49.6,Average (40-60),147,270.85
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,30.13,6.65,50.4,47.1,Weak (0-40),148,571.1
