Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
DIVISLAB,56.451612903225815,43.54838709677419,23.017392724637965,INE361B01024,21.0,-12.903225806451623,8.0,29.0,10,2020-04-01
JBCHEPHARM,52.41935483870967,45.96774193548387,37.653857622467555,INE572A01036,9.0,-6.451612903225801,20.0,29.0,11,2020-04-01
BIOCON,54.03225806451613,45.96774193548387,24.398346290623806,INE376G01013,15.0,-8.064516129032256,17.0,32.0,12,2020-04-01
ALKEM,56.451612903225815,43.54838709677419,18.220888916142243,INE540L01014,28.0,-12.903225806451623,7.0,35.0,13,2020-04-01
IGL,58.06451612903226,41.935483870967744,13.769095985683633,INE203G01027,35.0,-16.12903225806452,2.0,37.0,14,2020-04-01
DMART,52.41935483870967,47.58064516129033,24.67382376831835,INE192R01011,14.0,-4.838709677419345,23.0,37.0,15,2020-04-01
DEEPAKNTR,51.61290322580645,47.58064516129033,25.982305010779292,INE288B01029,13.0,-4.032258064516121,25.0,38.0,16,2020-04-01
BHARTIARTL,53.2258064516129,46.774193548387096,23.28302518935179,INE397D01024,20.0,-6.451612903225801,19.0,39.0,17,2020-04-01
BERGEPAINT,51.61290322580645,48.38709677419355,23.638526110016358,INE463A01038,18.0,-3.225806451612897,28.0,46.0,18,2020-04-01
DLF,57.25806451612904,42.74193548387097,8.595909847321348,INE271C01023,41.0,-14.516129032258071,6.0,47.0,19,2020-04-01
IPCALAB,49.193548387096776,50.806451612903224,47.30092110665647,INE571A01038,5.0,1.6129032258064484,44.0,49.0,20,2020-04-01
ADANIGREEN,56.557377049180324,43.44262295081967,134.80612365263065,INE364U01010,1.0,-13.114754098360656,5.0,6.0,1,2020-05-01
ALKYLAMINE,56.557377049180324,43.44262295081967,118.78575810166852,INE150B01039,2.0,-13.114754098360656,6.0,8.0,2,2020-05-01
DIXON,58.19672131147541,41.80327868852459,56.974155200473064,INE935N01020,5.0,-16.393442622950815,3.0,8.0,3,2020-05-01
JBCHEPHARM,54.91803278688525,43.44262295081967,61.333404079019104,INE572A01036,4.0,-11.47540983606558,12.0,16.0,4,2020-05-01
BIOCON,56.557377049180324,43.44262295081967,42.76508118376785,INE376G01013,13.0,-13.114754098360656,8.0,21.0,5,2020-05-01
