Date,Open,High,Low,Close,Volume
2018-04-30,446.4,451.2,436.4,437.85,19517964
2018-05-02,439.55,445.1,438.65,442.15,13459074
2018-05-03,444.5,444.5,436.05,437.1,8684602
2018-05-04,437.65,438.5,431.85,433.6,8350522
2018-05-07,435.85,442.35,434.7,441.4,7727570
2018-05-08,444.35,446.4,438.75,439.6,10854880
2018-05-09,439.05,447.4,437.35,443.95,9887730
2018-05-10,445.45,447.55,442.85,445.95,8832220
2018-05-11,446.05,450.6,444.4,449.65,8825336
2018-05-14,450.9,450.9,443.95,448.45,5675034
2018-05-15,446.85,454.55,443.9,445.0,10562030
2018-05-16,442.7,442.7,432.9,434.65,18949398
2018-05-17,436.1,436.4,427.95,429.7,10413650
2018-05-18,429.85,433.4,423.6,424.5,11506082
2018-05-21,423.1,425.35,419.1,423.35,14574764
2018-05-22,424.15,424.55,420.45,421.25,11375288
2018-05-23,420.9,420.9,413.25,414.65,10048636
2018-05-24,415.45,418.6,413.7,416.3,11699562
2018-05-25,416.4,419.7,415.65,418.55,17884944
2018-05-28,420.4,421.4,417.35,418.4,11435238
2018-05-29,418.9,421.85,415.65,417.0,17981472
2018-05-30,415.85,419.65,412.1,416.4,13180688
2018-05-31,418.6,419.25,415.7,418.8,37293962
2018-06-01,418.15,425.35,417.5,423.0,19284838
2018-06-04,424.25,429.1,423.0,427.65,12320786
2018-06-05,428.55,434.1,427.7,430.75,17537352
2018-06-06,430.45,434.55,428.45,433.8,9216862
2018-06-07,434.05,443.6,433.85,441.55,15086060
2018-06-08,439.25,448.4,436.6,447.45,14371718
2018-06-11,448.7,454.5,445.0,446.65,15105316
2018-06-12,447.0,454.55,445.6,453.25,16379486
2018-06-13,454.55,457.2,449.8,455.65,13037244
2018-06-14,453.4,459.9,448.8,458.15,12066708
2018-06-15,457.3,465.2,454.2,461.0,24848344
2018-06-18,458.55,463.85,457.7,461.6,12435222
2018-06-19,460.9,461.25,451.65,452.75,13961422
2018-06-20,452.7,464.95,452.2,463.3,15826412
2018-06-21,465.2,470.9,464.25,469.1,23121464
2018-06-22,467.45,467.85,458.4,460.2,35573952
2018-06-25,459.7,462.05,455.6,456.6,11434926
2018-06-26,457.3,457.3,443.3,445.0,17750888
2018-06-27,444.8,447.9,437.6,439.05,19708822
2018-06-28,437.3,440.2,427.4,429.5,18878714
2018-06-29,431.4,443.4,431.4,442.0,17526082
2018-07-02,442.0,442.0,435.0,436.6,14654016
2018-07-03,438.6,444.75,436.55,441.5,11147974
2018-07-04,441.75,450.9,441.4,450.05,11001592
2018-07-05,453.15,458.4,435.75,438.4,41182576
2018-07-06,438.55,446.85,438.4,444.35,20154786
2018-07-09,448.7,454.55,447.05,453.25,11374416
2018-07-10,455.8,467.5,454.55,466.25,22977928
